"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","12","12","1","6.163574","0","12"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","16","20","2","19.623129","0","20"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","28","28","2","276.319580","0","28"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","102","112","6","171.371933","0","112"
"/Game/StarterContent/Particles/Materials/M_Heat_Distortion.M_Heat_Distortion","0","21","21","1","12.394289","0","21"
"/Game/StarterContent/Particles/Materials/M_Fire_SubUV.M_Fire_SubUV","0","9","9","1","4.986291","0","9"
"/Game/RogueCharacter/Materials/Master/M_Head.M_Head","0","6","6","1","5.892151","0","6"
"/Game/RogueCharacter/Materials/Master/M_LeatherA.M_LeatherA","0","6","6","1","5.640660","0","6"
"/Game/RogueCharacter/Materials/Master/M_Metal.M_Metal","0","6","6","1","0.000000","0","6"
"/Game/RogueCharacter/Materials/Master/M_LeatherB.M_LeatherB","0","6","6","1","0.000000","0","6"
"/Game/RogueCharacter/Materials/Master/M_Cloth.M_Cloth","0","42","48","1","45.300907","0","48"
"/Game/OmomboContent/Kensa/AnimationsAndMeshes/Arissa_MAT.Arissa_MAT","0","6","6","1","5.374063","0","6"
"/Game/OldBrokenPillar/BaseMaterials/M_Base_WallElements.M_Base_WallElements","0","3","3","1","2.882989","0","3"
"/Game/StarterContent/Particles/Materials/M_Radial_Gradient.M_Radial_Gradient","0","12","12","1","7.269068","0","12"
"/Game/StarterContent/Particles/Materials/M_radial_ramp.M_radial_ramp","0","12","12","1","0.000000","0","12"
"/Fab/Materials/Standard/M_MS_Billboard.M_MS_Billboard","0","28","32","2","45.837395","56","160"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","102","112","6","146.077652","0","112"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","6","7","1","6.327187","0","7"
"/ControlRig/M_Manip.M_Manip","0","6","7","1","4.534079","0","7"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","2","2","1","1.581445","0","2"
"/Fab/Materials/Standard/M_MS_Foliage.M_MS_Foliage","0","28","32","2","67.739891","56","160"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","5","5","1","3.772018","0","5"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","57","63","1","46.451618","0","63"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","36","42","2","31.108055","0","42"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","110","128","6","174.369202","0","128"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","82","92","6","66.973724","0","92"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialKnob.M_AudioMaterialKnob","0","13","13","1","5.515600","0","13"
"/AudioWidgets/AudioMaterialSlate/M_AudioMaterialMeter.M_AudioMaterialMeter","0","13","13","1","4.793100","0","13"
